A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, DUMURIA, 105596, 3148702, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 138143, 138143
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, DUMURIA, 105596, 3148702, Maintenance of community system, 0, 0, 0, 0, 0, 0, 2624733, 2624733
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, DUMURIA, 105596, 3148702, Total, 0, 0, 0, 0, 0, 0, 2762876, 2762876
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, SADERI, 105603, 3126827, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 167671, 167671
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, SADERI, 105603, 3126827, Agriculture, 0, 0, 0, 0, 0, 0, 400000, 400000
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, SADERI, 105603, 3126827, Maintenance of community system, 0, 0, 0, 0, 0, 0, 800000, 800000
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, SADERI, 105603, 3126827, Roads, 0, 0, 0, 0, 0, 0, 1785729, 1785729
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, SADERI, 105603, 3126827, Sanitation, 0, 0, 0, 0, 0, 0, 200000, 200000
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, SADERI, 105603, 3126827, Total, 0, 0, 0, 0, 0, 0, 3353400, 3353400
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, DUBI, 105595, 2858907, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 62886, 62886
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, DUBI, 105595, 2858907, Roads, 0, 0, 0, 0, 0, 0, 1140000, 1140000
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, DUBI, 105595, 2858907, Sanitation, 0, 0, 0, 0, 0, 0, 54826, 54826
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, DUBI, 105595, 2858907, Total, 0, 0, 0, 0, 0, 0, 1257712, 1257712
2018, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAMUNKUCHI, 105591, 3144901, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 158762, 158762
