A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, BISHNUPUR-II, 3122, PATHARBERIA JAYCHANDIPUR, 108048, 1623394, Drinking water, 0, 0, 0, 0, 0, 0, 601000, 601000
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, BISHNUPUR-II, 3122, PATHARBERIA JAYCHANDIPUR, 108048, 1623394, Roads, 0, 0, 0, 0, 0, 0, 5933000, 5933000
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, BISHNUPUR-II, 3122, PATHARBERIA JAYCHANDIPUR, 108048, 1623394, Total, 0, 0, 0, 0, 0, 0, 6534000, 6534000
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, KULPI, 3134, RAJARAMPUR, 108172, 1623397, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, KULPI, 3134, RAJARAMPUR, 108172, 1623397, Land improvement, 0, 0, 0, 0, 0, 0, 580000, 580000
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, KULPI, 3134, RAJARAMPUR, 108172, 1623397, Roads, 0, 0, 0, 0, 0, 0, 3527000, 3527000
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, KULPI, 3134, RAJARAMPUR, 108172, 1623397, Sanitation, 0, 0, 0, 0, 0, 0, 185000, 185000
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, KULPI, 3134, RAJARAMPUR, 108172, 1623397, Total, 0, 0, 0, 0, 0, 0, 4742000, 4742000
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, MATHURAPUR I, 3139, DAKSHIN LAKSHMINARAYANPUR, 108221, 1626178, Roads, 0, 0, 0, 0, 0, 0, 1727276, 1727276
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, MATHURAPUR I, 3139, DAKSHIN LAKSHMINARAYANPUR, 108221, 1626178, Sanitation, 0, 0, 0, 0, 0, 0, 519293, 519293
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, MATHURAPUR I, 3139, DAKSHIN LAKSHMINARAYANPUR, 108221, 1626178, Total, 0, 0, 0, 0, 0, 0, 2246569, 2246569
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, MATHURAPUR I, 3139, DAKSHIN LAKSHMINARAYANPUR, 108221, 1631055, Roads, 0, 0, 0, 0, 0, 0, 1223688, 1223688
2016, WEST BENGAL, 19, 24 PARAGANAS SOUTH, 264, MATHURAPUR I, 3139, DAKSHIN LAKSHMINARAYANPUR, 108221, 1631055, Total, 0, 0, 0, 0, 0, 0, 1223688, 1223688
2016, WEST BENGAL, 19, BANKURA, 265, INDUS, 3153, INDAS-II, 108353, 1627352, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 50000, 50000
2016, WEST BENGAL, 19, BANKURA, 265, INDUS, 3153, INDAS-II, 108353, 1627352, Drinking water, 0, 0, 0, 0, 0, 0, 150000, 150000
2016, WEST BENGAL, 19, BANKURA, 265, INDUS, 3153, INDAS-II, 108353, 1627352, Roads, 0, 0, 0, 0, 0, 0, 429871, 429871
2016, WEST BENGAL, 19, BANKURA, 265, INDUS, 3153, INDAS-II, 108353, 1627352, Total, 0, 0, 0, 0, 0, 0, 629871, 629871
2016, WEST BENGAL, 19, BIRBHUM, 267, KHOYRASOL, 3202, RUPUSPUR, 108793, 1782588, Roads, 0, 0, 0, 0, 0, 0, 400000, 400000
2016, WEST BENGAL, 19, BIRBHUM, 267, KHOYRASOL, 3202, RUPUSPUR, 108793, 1782588, Total, 0, 0, 0, 0, 0, 0, 400000, 400000
2016, WEST BENGAL, 19, BIRBHUM, 267, MAYURESWAR-I, 3204, MOLLARPUR-I, 108811, 1852847, Agriculture, 0, 0, 0, 0, 0, 0, 250000, 250000
2016, WEST BENGAL, 19, BIRBHUM, 267, MAYURESWAR-I, 3204, MOLLARPUR-I, 108811, 1852847, Cultural activities, 0, 0, 0, 0, 0, 0, 175000, 175000
2016, WEST BENGAL, 19, BIRBHUM, 267, MAYURESWAR-I, 3204, MOLLARPUR-I, 108811, 1852847, Education, 0, 0, 0, 0, 0, 0, 200000, 200000
2016, WEST BENGAL, 19, BIRBHUM, 267, MAYURESWAR-I, 3204, MOLLARPUR-I, 108811, 1852847, Family welfare, 0, 0, 0, 0, 0, 0, 150000, 150000
2016, WEST BENGAL, 19, BIRBHUM, 267, MAYURESWAR-I, 3204, MOLLARPUR-I, 108811, 1852847, Health & Sanitation, 0, 0, 0, 0, 0, 0, 50000, 50000
2016, WEST BENGAL, 19, BIRBHUM, 267, MAYURESWAR-I, 3204, MOLLARPUR-I, 108811, 1852847, Roads, 0, 0, 0, 0, 0, 0, 1290000, 1290000
2016, WEST BENGAL, 19, BIRBHUM, 267, MAYURESWAR-I, 3204, MOLLARPUR-I, 108811, 1852847, Sanitation, 0, 0, 0, 0, 0, 0, 50000, 50000
2016, WEST BENGAL, 19, BIRBHUM, 267, MAYURESWAR-I, 3204, MOLLARPUR-I, 108811, 1852847, Total, 0, 0, 0, 0, 0, 0, 2165000, 2165000
2016, WEST BENGAL, 19, MALDAH, 275, KALIACHAK-I, 3304, BAMONGRAM-MASHIMPUR, 109933, 1619676, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 200000, 200000
2016, WEST BENGAL, 19, MALDAH, 275, KALIACHAK-I, 3304, BAMONGRAM-MASHIMPUR, 109933, 1619676, Roads, 0, 0, 0, 0, 0, 0, 2745000, 2745000
2016, WEST BENGAL, 19, MALDAH, 275, KALIACHAK-I, 3304, BAMONGRAM-MASHIMPUR, 109933, 1619676, Sanitation, 0, 0, 0, 0, 0, 0, 270000, 270000
2016, WEST BENGAL, 19, MALDAH, 275, KALIACHAK-I, 3304, BAMONGRAM-MASHIMPUR, 109933, 1619676, Total, 0, 0, 0, 0, 0, 0, 3215000, 3215000
2016, WEST BENGAL, 19, MEDINIPUR EAST, 276, BHAGAWANPUR-I, 3311, KAJLAGARH, 110006, 1637477, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 425000, 425000
2016, WEST BENGAL, 19, MEDINIPUR EAST, 276, BHAGAWANPUR-I, 3311, KAJLAGARH, 110006, 1637477, Drinking water, 0, 0, 0, 0, 0, 0, 8300000, 8300000
2016, WEST BENGAL, 19, MEDINIPUR EAST, 276, BHAGAWANPUR-I, 3311, KAJLAGARH, 110006, 1637477, Public distribution system, 0, 0, 0, 0, 0, 0, 200000, 200000
2016, WEST BENGAL, 19, MEDINIPUR EAST, 276, BHAGAWANPUR-I, 3311, KAJLAGARH, 110006, 1637477, Roads, 0, 0, 0, 0, 0, 0, 3865000, 3865000
2016, WEST BENGAL, 19, MEDINIPUR EAST, 276, BHAGAWANPUR-I, 3311, KAJLAGARH, 110006, 1637477, Total, 0, 0, 0, 0, 0, 0, 12790000, 12790000
